campaign_date,campaign,group_id,group_name,members_last_recorded,current_status,comments,reactions,shares,views,post_url,notes
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",715798822492338,"စင်ကာပူရောက် မြန်မာများ",45500,live,0,not_displayed,not_displayed,not_displayed,https://www.facebook.com/groups/715798822492338/permalink/2336078493797688/,"Individual post; source Reel shows 13 total shares"
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",1765065940589726,"စင်ကာပူရောက်မြန်မာများ Group",53500,live,0,not_displayed,not_displayed,not_displayed,https://www.facebook.com/groups/1765065940589726/permalink/2599889713774007/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",1222374187943874,"စင်ကာပူရောက်မြန်မာများ",12800,live,0,not_displayed,not_displayed,not_displayed,https://www.facebook.com/groups/1222374187943874/permalink/3433585256822745/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",sgmmnews,"စင်ကာပူ မြန်မာ သတင်းစုံ",35500,live,0,not_displayed,not_displayed,not_displayed,https://www.facebook.com/groups/sgmmnews/permalink/1770380970873794/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",1015065566214229,"စင်ကာပူရောက်ရွှေမြန်မာများ ဆုံစည်းရာ / Myanmar People in Singapore",16800,live,0,not_displayed,not_displayed,not_displayed,https://www.facebook.com/groups/1015065566214229/permalink/1716250686095710/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",1138478539957433,"စင်ကာပူရောက်မြန်မာများ",41300,live,0,not_displayed,not_displayed,not_displayed,https://www.facebook.com/groups/1138478539957433/permalink/2570919206713352/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",3110745002568050,"Singapore ရောက်မြန်မာများ",10600,live,0,not_displayed,not_displayed,not_displayed,https://www.facebook.com/groups/3110745002568050/permalink/4004513406524534/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",211360618921341,"Myanmar@Singapore",3300,pending_admin_approval,NA,NA,NA,NA,https://www.facebook.com/groups/211360618921341/permalink/28173251802305514/,"Permalink page explicitly says pending approval"
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",5841747689213438,"စင်္ကာပူရောက်ရွှေမြန်မာများ Group",29100,pending_admin_approval,NA,NA,NA,NA,https://www.facebook.com/groups/5841747689213438/permalink/28082998064661749/,"Permalink page explicitly says pending approval"
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",1346693313495175,"စင်ကာပူ ရောက် ရွှေမြန်မာများ",25200,pending_admin_approval,NA,NA,NA,NA,https://www.facebook.com/groups/1346693313495175/pending_posts/1629763355188168/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",386172886673593,"စလုံးရောက် ရွှေမြန်မာများ",26400,pending_admin_approval,NA,NA,NA,NA,https://www.facebook.com/groups/386172886673593/pending_posts/1451544526803085/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",3150976601791475,"စင်္ကာပူရောက်မြန်မာနိုင်ငံသားများ",35700,pending_admin_approval,NA,NA,NA,NA,https://www.facebook.com/groups/3150976601791475/pending_posts/4203925009829957/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",400578237627032,"စင်ကာပူ မြန်မာ Myanmar Singapore (ဘာပဲလိုလို Group)",37000,pending_admin_approval,NA,NA,NA,NA,https://www.facebook.com/groups/400578237627032/pending_posts/1787671295584379/,
2026-08-25,"ON Hair and Beauty ရဲ့ ဆံပင်ပုံစံအသစ်လေး",195004445628994,"စင်္ကာပူ ရပ်ကွက်စုံ",17600,not_found,NA,NA,NA,NA,,"Facebook says Jia Li has no current posts in this group"
